NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
2      1     24      4       6 __floordiv__@176-181@../algorithms/algorithms/maths/polynomial.py
2      1     26      5       6 __floordiv__@431-436@../algorithms/algorithms/maths/polynomial.py
2      2     28      1       5 clone@467-471@../algorithms/algorithms/maths/polynomial.py
2      1     10      1       2 __init__@20-21@../algorithms/algorithms/queues/queue.py
2      1      9      1       2 __len__@23-24@../algorithms/algorithms/queues/queue.py
2      1     11      1       2 is_empty@26-27@../algorithms/algorithms/queues/queue.py
2      1      8      2       2 enqueue@30-31@../algorithms/algorithms/queues/queue.py
2      1      6      1       2 dequeue@34-35@../algorithms/algorithms/queues/queue.py
2      1      6      1       2 peek@38-39@../algorithms/algorithms/queues/queue.py
2      1      6      1       2 __iter__@42-43@../algorithms/algorithms/queues/queue.py
2      1     20      1       5 _expand@89-93@../algorithms/algorithms/queues/queue.py
2      1     18      2       6 __init__@6-11@../algorithms/algorithms/queues/moving_average.py
2      1     18      1       2 __repr__@14-15@../algorithms/algorithms/queues/priority_queue.py
2      1     14      1       2 __repr__@30-31@../algorithms/algorithms/queues/priority_queue.py
2      1     13      1       4 size@33-36@../algorithms/algorithms/queues/priority_queue.py
2      1     16      1       5 pop@51-55@../algorithms/algorithms/queues/priority_queue.py
2      1     11      1       2 __init__@6-7@../algorithms/algorithms/stack/ordered_stack.py
2      1     12      1       2 is_empty@9-10@../algorithms/algorithms/stack/ordered_stack.py
2      1     15      2       2 push_t@12-13@../algorithms/algorithms/stack/ordered_stack.py
2      1     19      1       2 peek@32-33@../algorithms/algorithms/stack/ordered_stack.py
2      1     12      1       2 size@35-36@../algorithms/algorithms/stack/ordered_stack.py
2      1     11      1       2 __init__@19-20@../algorithms/algorithms/stack/stack.py
2      1     11      1       2 __len__@22-23@../algorithms/algorithms/stack/stack.py
2      1     12      1       2 is_empty@29-30@../algorithms/algorithms/stack/stack.py
2      1      6      1       2 __iter__@33-34@../algorithms/algorithms/stack/stack.py
2      1      8      2       2 push@37-38@../algorithms/algorithms/stack/stack.py
2      1      6      1       2 pop@41-42@../algorithms/algorithms/stack/stack.py
2      1      6      1       2 peek@45-46@../algorithms/algorithms/stack/stack.py
2      1     20      1       6 _expand@86-91@../algorithms/algorithms/stack/stack.py
2      1     14      1       2 random_element@42-43@../algorithms/algorithms/set/randomized_set.py
2      3     28      1       2 vector_to_index_value_list@12-13@../algorithms/algorithms/matrix/sparse_dot_vector.py
2       0.0     0.0        0.0         0     ../algorithms/algorithms/streaming/__init__.py
3      1     20      2       3 __init__@23-25@../algorithms/algorithms/tree/fenwick_tree/fenwick_tree.py
3      2     53      1       3 build_tree@33-35@../algorithms/algorithms/tree/segment_tree/iterative_segment_tree.py
3      2     24      2       3 add_word@63-65@../algorithms/algorithms/tree/trie/add_and_search.py
3      1     20      1       3 __init__@11-13@../algorithms/algorithms/tree/trie/trie.py
3      1     31      1       3 test_search@131-133@../algorithms/algorithms/tree/bst/bst.py
3      2     17      2       3 depth_sum@22-24@../algorithms/algorithms/tree/bst/depth_sum.py
3      1     17      1       4 __init__@24-27@../algorithms/algorithms/tree/b_tree.py
3      1     16      1       3 traverse_tree@240-242@../algorithms/algorithms/tree/b_tree.py
3      1     15      1       3 __init__@19-21@../algorithms/algorithms/tree/deepest_left.py
3      1     17      1       3 __init__@64-66@../algorithms/algorithms/strings/breaking_bad.py
3      1     23      1       7 repeat_substring@19-25@../algorithms/algorithms/strings/repeat_substring.py
3      1     21      1       3 pythonic@16-18@../algorithms/algorithms/strings/reverse_string.py
3      2     34      1       3 fb@53-55@../algorithms/algorithms/strings/fizzbuzz.py
3      1     27      2       3 rotate_alt@21-23@../algorithms/algorithms/strings/rotate.py
3      1     20      2       3 clear_bit@27-29@../algorithms/algorithms/bit/bit_operation.py
3      1     31      3       3 update_bit@35-37@../algorithms/algorithms/bit/bit_operation.py
3      1     21      1      31 get_factors@30-60@../algorithms/algorithms/dfs/all_factors.py
3      1     22      1       3 find_path@24-26@../algorithms/algorithms/dfs/maze_search.py
3      1     20      1      11 recursive_get_factors@53-63@../algorithms/algorithms/backtrack/factor_combinations.py
3      1     20      2      26 pattern_match@17-42@../algorithms/algorithms/backtrack/pattern_match.py
3      1     22      2       3 __init__@16-18@../algorithms/algorithms/linkedlist/partition.py
3      1     17      2       3 __init__@11-13@../algorithms/algorithms/linkedlist/merge_two_list.py
3      1     17      2       3 __init__@13-15@../algorithms/algorithms/linkedlist/delete_node.py
3      1     17      2       3 __init__@22-24@../algorithms/algorithms/linkedlist/linkedlist.py
3      1     17      2       3 __init__@18-20@../algorithms/algorithms/linkedlist/add_two_numbers.py
3      1     22      1       3 test_convert_to_list@126-128@../algorithms/algorithms/linkedlist/add_two_numbers.py
3      1     17      2       3 __init__@9-11@../algorithms/algorithms/linkedlist/is_cyclic.py
3      1     19      2       3 __init__@2-4@../algorithms/algorithms/linkedlist/kth_to_last.py
3      1     19      2       3 __init__@16-18@../algorithms/algorithms/linkedlist/intersection.py
3      1     17      2       3 __init__@14-16@../algorithms/algorithms/linkedlist/first_cyclic_node.py
3      1     19      2       3 __init__@2-4@../algorithms/algorithms/linkedlist/remove_duplicates.py
3      1     17      2       3 __init__@13-15@../algorithms/algorithms/linkedlist/swap_in_pairs.py
3      3     35      2       3 __init__@10-12@../algorithms/algorithms/graph/dijkstra.py
3      1     30      3       6 dfs@24-29@../algorithms/algorithms/graph/path_between_two_vertices_in_digraph.py
3      1     21      2       6 next_state@26-31@../algorithms/algorithms/graph/markov_chain.py
3      1     18      2       3 __init__@38-40@../algorithms/algorithms/graph/clone_graph.py
3      1     19      3       3 __init__@58-60@../algorithms/algorithms/graph/graph.py
3      1     21      2       7 __init__@15-21@../algorithms/algorithms/graph/check_digraph_strongly_connected.py
3      1     28      2       6 next_greatest_letter@29-34@../algorithms/algorithms/search/next_greatest_letter.py
3      1     17      1       3 __init__@16-18@../algorithms/algorithms/map/randomized_set.py
3      1     29      1       3 get_random@36-38@../algorithms/algorithms/map/randomized_set.py
3      1     19      1       3 __init__@65-67@../algorithms/algorithms/heap/binary_heap.py
3      1     42      3       3 distance@46-48@../algorithms/algorithms/heap/k_closest_points.py
3      1     17      2       3 __init__@14-16@../algorithms/algorithms/heap/merge_sorted_k_lists.py
3      1     23      3       3 __init__@14-16@../algorithms/algorithms/arrays/merge_intervals.py
3      1     21      2       3 binary@17-19@../algorithms/algorithms/compression/elias.py
3      1     33      1       3 get_number_of_additional_bits_in_the_last_byte@41-43@../algorithms/algorithms/compression/huffman_coding.py
3      1     21      2       3 write_int@130-132@../algorithms/algorithms/compression/huffman_coding.py
3      1     21      2       3 _reset@222-224@../algorithms/algorithms/compression/huffman_coding.py
3      2     28      1       4 find_next_square2@14-17@../algorithms/algorithms/maths/next_perfect_square.py
3      2     42      1       6 clone@184-189@../algorithms/algorithms/maths/polynomial.py
3      3     47      1       6 clean@192-197@../algorithms/algorithms/maths/polynomial.py
3      1     19      3       3 __init__@17-19@../algorithms/algorithms/dp/knapsack.py
3      1     17      2       3 __init__@97-99@../algorithms/algorithms/queues/queue.py
3      1     30      2       7 next@13-19@../algorithms/algorithms/queues/moving_average.py
3      3     33      3       8 __init__@2-9@../algorithms/algorithms/queues/zigzagiterator.py
3      1     19      3       3 __init__@10-12@../algorithms/algorithms/queues/priority_queue.py
3      1     22      1       3 __str__@25-27@../algorithms/algorithms/stack/stack.py
3      1     26      2       8 __init__@50-57@../algorithms/algorithms/stack/stack.py
3      1     17      2       3 __init__@96-98@../algorithms/algorithms/stack/stack.py
3      1     17      1       3 __init__@103-105@../algorithms/algorithms/stack/stack.py
3      1     17      1       3 __init__@21-23@../algorithms/algorithms/set/randomized_set.py
3      1     27      0       3 main@33-35@../algorithms/algorithms/matrix/count_paths.py
3      1     37      0       3 __test_simple@38-40@../algorithms/algorithms/matrix/sparse_dot_vector.py
3       0.0     0.0        0.0         0     ../algorithms/algorithms/tree/traversal/__init__.py
4      1     28      3       4 __init__@19-22@../algorithms/algorithms/tree/trie/add_and_search.py
4      1     30      4       4 __init__@8-11@../algorithms/algorithms/tree/traversal/inorder.py
4      1     30      4       4 __init__@7-10@../algorithms/algorithms/tree/traversal/postorder.py
4      1     30      4       4 __init__@9-12@../algorithms/algorithms/tree/traversal/preorder.py
4      1     21      1       5 __init__@10-14@../algorithms/algorithms/tree/avl/avl.py
4      1     30      4       4 __init__@3-6@../algorithms/algorithms/tree/bst/kth_smallest.py
4      1     29      3       9 kth_smallest@24-32@../algorithms/algorithms/tree/bst/kth_smallest.py
4      1     22      2       4 __init__@4-7@../algorithms/algorithms/tree/bst/serialize_deserialize.py
4      1     21      1      11 deserialize@23-33@../algorithms/algorithms/tree/bst/serialize_deserialize.py
4      1     22      2       4 __init__@12-15@../algorithms/algorithms/tree/bst/bst.py
4      1     22      2       4 __init__@8-11@../algorithms/algorithms/tree/bst/array_to_bst.py
4      1     19      1       4 max_path_sum@1-4@../algorithms/algorithms/tree/max_path_sum.py
